,all_features
0,Great Culture and Company That Cares Not much politics and very few ego's. Everyone is willing to help which is refreshing. Not very tough recruiting A Player Talent as Aptiv is a place where most want to work. Need to focus on career growth and promoting within. Not much movement with internal candidates which turns into employees leaving.
1,"Shaping the Future of Mobility! Global Work Environment, Cutting Edge Technology Sector, Interesting Challenges None to mention at this time."
2,"Lots of potential- getting there A very fast paced environment - you definitely won't be bored and you learn lots in a short space of time A very global company- exciting to work with some many colleagues from all over the world, if a little daunting at first You can make decisions fast - less bureaucracy that other companies Really nice office facilities, young energetic team of people, good work colleagues. Training and coaching could be better- high expectations but needs more structure and stability to help people succeed"
3,"Black stain on the IDA - Kevin and Joe Show - no encore needed The marketing department is great at creating positive reviews on glassdoor. Disregard the obvious fake reviews, challenging work environment is short for toxic and unraveling as a recent million dollar survey announced. Can be hard to get your head around the global scale and complex divisional structures really means aptiv is full of fiefdom, to get anything done you need to follow a broken process using broken systems for no thought out reason for no recognition. Question anything - fired. have an opinion - fired. talk out of turn - fired. try something different - fired. The fear and toxic culture comes from CEO CFO dynamic duo all they way down - the need to impress wall street at all costs means nothing matters only numbers. Culture is a joke there is none. They are Trumpian rip off merchants overpaying themselves to fly all over the world telling people how important they are, Look out for them with their begging bowl in the coming months. Everything about this place is a con. Dont worry they will be shedding most of the irish workforce soon enough and move onto the next country willing to put up with the Kevin and Joe show."
4,"Bad culture, no HR alignment Fairly okay salary, key stakeholders good to work with HR is all over the place, no centralised HR, global comms are not aligned with local comms, miscommunication, favoritism, no annual bonus, poor incentives for HR team"
5,Good working place good package comparing to other companies IT chaos in terms of org and process
6,"Soulless company that grinds you into dust Beautiful offices, friendly work colleagues, free coffee and food, central location. This is the hardest company I've ever worked for - hard not because of the work, but because leadership make loyalty very difficult. I've spent my entire time here constantly wondering if the scheduled meeting with my manager is about me being fired. Honestly, I am only here until they fire me (which could be any day even though I excel in my reviews) or when I find a better job. Aptiv has either fired or lost all the hardworking, competent and talented staff they had in the last six months. Why? Because they are likely showing up their managers by being able to answer the questions and solve the problems they can't. And, of course costs, despite raising the GDP of a small nation in investment in the last quarter. To get a bit of perspective on the culture here: Aptiv's CEO told all staff on a company-wide call that work-life balance was a myth and you should structure your life around Aptiv. Morale is at an all time low. I wasn't experienced in the manufacturing sector prior to joining, and its a cut-throat sector. Aptiv is a manufacturing company trying to pivot into a tech company, but all senior leadership are from the manufacturing sector. American manufacturing management mythologies, everything is about cutting cents, so that the leadership can bolster their stock options."
7,"Great Company with Progressive Technology Rare opportunity in Ireland to work in the automotive manufacturing industry. Genuine career opportunities. The company truly embraces diversity. Strong CEO and sense of being in the right place at the right time. Salary, pension and health benefits above average but bonus is only average. Good social scene, great offices and location, free breakfast, friendly co-workers and some memorable nights out. Top-heavy management structure. Unfortunately there are too many middle management layers who only have administration/delegation capability rather than hands-on capability and direct experience."
8,"""Best place I've ever worked"" Great place to build new skills. Work with smartest people in the industry. Lots of benefits and competitive pay. Work life balance. Slow hierarchical progression."
9,"Horrific still having nightmares My exit interview as i could see light at the end of the tunnel 😀 Micro management, really bad culture as in NO culture. Really showing true colours during Covid forcing people to take holidays and unpaid leave and laying people off redundancies HR totally useless"
10,"Great Great place to work, lots of very talented people working in a complex global environment. Lots of learning opportunities Can be hard to get your head around the global scale and complex divisional structures."
11,"Terrible Culture Interesting technological challenges Diverse infrastructure and requirements, manufacturing, engineering Terrible challenge Poor management NO leadership Highly political environment Company is doing terribly, many job losses"
12,Employer review Good to start with new levels HR policies need extensive revision.
13,"If Carlsberg did bad places to work, they probably wouldn't be as bad as here Very little really, many were sold a vision that never actually had c-level commitment behind it. Then people were told that this was never what was said in the first place. There is no forward-thinking going on (at least within the Dublin office). If anyone tries to do something new massive resistance is put in their way and in some cases they are just 'removed' to stop their efforts. They got a large number of very talented people to leave good jobs based on both a large salary jump and a promise of interesting and challenging work, for many the sweet taste of the increased paycheck has well soured since very little of the work they were hired to do ever got a budget or support to proceed. So Pros: You might get a salary bump, but you'll regret it nearly instantly. The location is very good. The building is great if you want to 'look' like you work in a modern company. Where to start. Basics: No parking, no stock for normal employees, exceptionally poor leadership, nearly everything is out-sourced. For Dublin in particular, pretending to be Corporate HQ is a joke, as a site it is so removed from the actual activities of the wider company it may as well be a call center. No culture, in fact, the employees recently got the blame for a bad culture score, the remedy? Hold an all-hands where we were told ""Go make a better culture"", this must be the only improvement program they haven't out-sourced, which goes to show how much they care about that. Relocated numerous staff members from various countries only to now make a sizable number of them redundant, very classy move. Hire numerous talented IT professionals than not support them either by connecting them with the wider company or budgeting for the work they were hired to do. Sack people who rocked the apple cart and actually started to make a difference across many functions IT, SCM and Finance."
14,"Stay clear of this company Some good people, all struggling to survive such a toxic environment Toxic culture primarily due to leadership team. Employees are not valued. No recognition, appreciation or support. All are disposable widgets to be used and then discarded."
15,"Going about as well as Brexit really, isnt't it? shiny new office (fancy fingerprint sign-in doesnt always work) , handy to DART. that's about it really.... let's face it, it's going about as well as Brexit. Weak , inexperienced US managment on their first international assignment are out of their depth and struggling. Supply chain , finance and tax are complete losses- just stay clear of them ......."
16,"Cutting edge on Automotive Technology, Better Than Average Benefits and Pay The environment is changing to become more a of software development company and focus on next generation automotive solutions for the brain and nervous system of the automobile. Great people to work with. Very demanding management teams to get more done in an environment with constant change, turnover, and knowledge gaps."
17,"Rebranded as a tech company but really a Dinosaur. Stay away. Good salaries, Nice office location in Grand Canal Dock Too much red tape, Slow decision making, Very Hierarchical. Weak senior staff"
18,APTIV Ireland Great Culture Generous Package Good Working Environment Lots of OpportunitiesAPTIV Pace can be hectic at times Priorities can shift quickly with little warning
19,"good so far Interesting growing company lots of opportunities very complex ,jobs very specialised"
20,"not for everyone Remuneration for some levels, could get a decent manager. Interesting work and loads of responsibility. Remuneration often not worth it, no matter how much. Finance and tax function is mad. Senior management can be counter productive and drive away people or minimises motivation. Unrealistic expectations and approach from certain leaders creates uncomfortable workplace."
21,"Finance Good Salary, Nice Offices, Work Interesting, and varied, opportunities to travel depending on area of business you are in, some of the people are inclusive HR unsophisticated not strategic, staff are a number treated badly, staff under huge pressure to deliver to unrealistic deadlines, Dublin corp office hiring and firing within 11 month probation period pulling people out of secure jobs then dumping them callously, no management structures in place, a lot of shouting, staff distressed within months of being there, American managers think they are in US not Ireland using US practices a lawsuit waiting to happen"
22,"Mistake Looks decent externally, pretend to be part of the future. Not a technology company. Sterile office environment. Unreasonable expectations. Rough, micro-managing senior leadership, especially within Finance. Monolithic culture that does not seem to embrace differences. People are angry and disengaged. Lots of screamers. Work for the sake of work, which creates constant swirl."
23,FLDP Great exposure to different roles in the global corporation. Be able to move every year arround the world.
24,Stay Clear Very little...some nice people but thats about it No work life balance...managers rule by fear....unreasonable expectations
25,"A rolling start..... Exciting product offering, very direct, positive, open culture, right to CX level. Excellent support from HR and management teams. Huge potential for growth as a company and personally. None! There are always issues with companies going through significant change, but at Aptiv, they’re very good at getting out in front of them and communicating clearly, there really are no issues that aren’t acknowledged and being addressed at pace."
26,Good Company to work for. Wonderful atmosphere and flexible work life balance. Flexible work life balance Very good relocation package. Good Exposure . Senior Leadership is always available for any inputs/feedback. Perks Benefits Good Compensation Challenging roles but based upon individual interest Diverse Culture No share purchase plan Dependency on suppliers
27,"Coolest job ever! Cool cars when they worked. The invaluable lessons learned from the disgusting emotional games that were honestly well played. The blatant, wide spread drug use was fun! If your goal is to see the worst humans have to offer in the workplace this is the spot for you! Moving up was relatively easy for the chosen few, a bathroom bump and hump is all it took. If you did find yourself in a sticky situation that would make the company/tech look bad, no worries because they will cover it all up and still keep you working until you’re no longer needed. Upper management, middle management, all management especially the HR department. The complete disregard for the humanity of operators. The social/political tactics used by far are some of the most vile and amazingly well executed I’m a bit jealous. They are predatory sociopaths and very adept at exploiting personal issues and working as a well oiled pack to systematically break you down so you quit or stop caring entirely so they fire you. Every day was a slow drip of your existence being squeezed out of you drop by drop, all while your tormentors smiled and said good job everyone while simultaneously picking the next groups of stragglers to make an example of. But if you were one of the actual good ones taking true pride in what you did and exceeded the standards, oh they took delight in making sure they broke you down proper and with devastating precision."
28,"Get it together not many i can attest to, maybe the people ? Everything - This place does not have an idea what Agile really means, it implements everything on a separate agenda aka there is no coordination at the TROY location let alone the global platoform which is a mess of its own. They cut way too many employees masked as covid issues. This place will work you to the bone and ask for more as you bleed out. Those that are there are stuck there due to visas which i think they did on purpose for cheaper labor as well as employee retention. I have never walked through an office where people are so sad that they are stuck with thier current situation. Upper management keeps saying they are going to make it better - and then has a re-org. within the last 3 years there have been at least 3 re-orgs. if that doesnt sell you RED FLAG i dont know what will. stay away from TROY location."
29,"Toxic Work Environment The pay was great for the midwest, but that's likely the only way they can get people to join I've never worked in a more toxic environment in my career. People are throw under the bus regularly for things that were the fault of management. Job security is abysmal - I've never seen so many people let go from an organization, and no, this was pre-Covid, so it can't be blamed on that contraction. At the same time, the amount of corporate waste and wheel spinning was mind boggling. It doesn't seem like there's a clear strategy at the top - projects are started, killed, restarted, killed again. Honestly, I don't know how this company stays in business - oh yeah, I do! If you're a Tier 1 auto supplier your OEM customers can't afford to let you go out of business. GM was right to spin out this anchor before it dragged them to the bottom with it."
30,Good Employer! You can learn a lot! Global international project Friendly & helpful coworkers Good benefits package (even employee pension plan which is rare in the local market) Frequent overtime work Sometimes lack of understanding of local needs by global management
31,"Great company to work for Culture, great people, freedom to do your own things Need to work on review processes"
32,Great Company Learning about the best of the technologies Demanding employer as APTIV wants to be market leader on ADAS
33,"great benefits good benefits, and pay and employment management isnt the best if i"
34,"very good place to learning and grow High empowerment, trust and exposure complex company, from the structure perpective"
35,Excellent place to learn and contribute Respect for ideas and opportunities to grow Nothing is negative. You will be shifted to various platforms that might be a little stressful but an opportunity to work and grow
36,Future of Mobility As APTIV employee You have a real chance to shape the Future of Mobility. Great place to work and learn from the other talented and experienced engineers including cooperation with top OEMs. Sometimes need to work hard.
37,Great for work life balance Best for work life balance Didnot find anything till now
38,"Be at the pulse of autonomous driving Great colleagues, never boring, good pay, Not for employees who don’t act as #oneTeam and have no #ownership"
39,Good employer if you like American style companies Great oportunities to grow and nice and talented colleagues to learn from. Very interesting projects. Good decisions from top management but these do not get easily translated into engineering level. Therefore slow and cahotic execution
40,"Nice place to work Nice place to work Fast growing keep changing the partner, vehicle plateform"
41,"Best place to work ,good learnings, Good projects One learns so many different things across a different projects due to such a good learning while working environment. Less Pay scale, low financial growth"
42,Good place to work Good management and skilled team overall Benefits could have been better
43,"Excellent Work Life Balance & More Focus On People Work Life Balance, Culture, Work, Salary/Hike & People Caring. Especially during the Covid-19 situation, Company has provided best safety measures for employees safety & Adding to this ,we got the hike back to back with no delay. No Concept of LOP for the employees during pandemic. Best company for married women employees with respect to office timings. There are no cons with respect to work @ Aptiv. Only thing is Cafeteria need to be renewed."
44,Nothing share some reasons to work not good for BE students
45,Overall good Company invests in innovation and has good strategy. Lack of change management in times of internal reorganization.
46,Great Opportunity Stable company with good benefits not much room for growth.
47,"Good company to start Aptiv offers a lot of training and professional opportunities in all areas; also, it is a company that adapts quickly to changes in the industry; well structured company As any company in the automotive industry, it's highly dependent on the current status of the market, which influences the production;"
48,Best place to work and learn 1. Encouragement to focus on personal goals along with org goals 2. Voice is always heard 3. Shapes you into good team player and scope for good technical interactions among senior engineers. Mechanical and Electrical team interaction is less which makes system engineers limited to components than entire system.
49,great place to work good projects good place to learn good pay work life balance no cons are there as per me
50,Good Place to work Flexible work environment and values for Employee nothing as such current assignment
51,Good Place to work Flexible work environment and values for Employee nothing as such current assignment
52,very good but not best salary culture scope of worklearnings good scope hectic work limited career growth nothing else
53,"Great company Great people, comfortable environment, fair wages and good benefits. Better review processes would be beneficial. I like to know how best to improve performance, regular reviews and feedback play a big role in growth."
54,"Good Flexibke work time, remote work Low sallary on part time"
55,"Tedious work that slowly removes every single drop of enthusiasm Good work environment (culture, work-life balance, two-way feedback taken seriously) Poor management and frustrating tech stack. Both will slowly erode away any enthusiasm and fun you might have with the job."
56,Salary range in Poland Aptiv is a good Global company The management is sometimes Poor when it comes to organizing the teams
57,Embedded software engineer Environment is very competitive and one gets to learn so many things out of projects assigned Long working hours during project assignment.
58,"A Good Experience for an Intern Flexible hours, independence, lets you work with school Can be isolating at times due to remote teams, traditional"
59,Great company culture Well structured framework for engineers to work within. Very collaborative culture Creativity is lacking some tomes
60,"Greate Very good, great, great , good great None, no , nope ,none ,nope"
61,Job titile was good The job environment was well able to freely work anywhere Defined work was never assigned as per offer letter
62,"Company has potential, too bad it is not people caring Company is money to fund investments Lots of job opportunities and very diverse environment work life balance, lack of people respect, middle management has no influence, everything is top down"
63,"Great opportunities & great environment The chance to increase your potential through development programs Big interest in peoples' engagement Demonstrates empathy for employees at all levels Could be improved the design for office areas, in order to look more modern."
64,Good Company to be working for Good environment to work in.Good salary. No cons for this company from what I remember.
65,Strong Tier 1 in Metro Detroit Team average age is very young. Some communication is not very efficient.
66,growing company driving towards AD Limitless learning of new things at work no cons that I have noticed
67,"Good Company Good salary, very good work culture Bad canteen, not many onsite opportunities"
68,Not suitable for BE Nothing to say about the company Working time is more and
69,"Good company with lot of new technologies to work on Good company with lot of new technologies to work on. Lot of work, Global teams"
70,Good and dynamic company in Automotive Great to start and get experience Unfair payment for those who are not in favor of local HR
71,Awesome work a lot of opportunities to grow Leadership desperately needs new blood
72,Excellent FEA team Good work culture maintained with CAE TEAM hour based billing will be quiet intriguing
73,Neutral! Globally good company Pay master High level politics More departmental performances rather for an organization
74,Great company A lot of challenges and experience I see no cons for it
75,Good work culture standard salary as per current industry can not think of any
76,Great company to chase your dreams. I have the freedom of choosing the domains and technology within Aptiv. Poor process and lot of chaos in the projects
77,"Review of Aptiv Company transforming really fast into cutting edge technology company Big corporation rules, slow processes, quite big rotation recently"
78,"Company is great, but your experience with the company greatly depends on the team you work with. good learning and decent salary. Layoffs, not enough to do, gets stagnant"
79,Good Place to work and start a carrier. Good Place to learn and grow No much of negatives here.
80,Great Culture and Company That Cares Not much politics and very few ego's. Everyone is willing to help which is refreshing. Not very tough recruiting A Player Talent as Aptiv is a place where most want to work. Need to focus on career growth and promoting within. Not much movement with internal candidates which turns into employees leaving.
81,"Cool Workplace! Work Life Balance, Helpful colleagues, decent pay, great atmosphere, good learning opportunity No major cons, sometimes the workload is more"
82,Good place to work It is a good place to work. Very diverse work group Lots of positions moved to other countries
83,"R&D for automotive Nice team, interesting technologies, development opportunities. High velocity of everyday work."
84,SoftwareEngineer salary is ok in mideast Lack of team building activity
85,"Good for Learning Lots of work, good in the learning phase of career Poor Management, Management has to improve. Still a company with old mindset"
86,"Very bad management Good work for learning . 1. No work life balance 2. People work 24/7 in this company 3. Ask everytime to work on weekends 4. No management to check your workload,they just give deadline 5. Very bad food 6. No seating arrangements 7. Give any competency work to anyone and suppose to give output as expert"
87,"Very bad management Good work for learning . 1. No work life balance 2. People work 24/7 in this company 3. Ask everytime to work on weekends 4. No management to check your workload,they just give deadline 5. Very bad food 6. No seating arrangements 7. Give any competency work to anyone and suppose to give output as expert"
88,"NICE Open working environment and knowledge sharing, always too much work need to finish at the same time, need the overtime work without payment."
89,Good company to work Exciting projects to work on Organizational skills are not up to the mark
90,"Great Great projects, good place to learn new stuff Company is not well organised"
91,Good to work Good learning curve Good Projects Good Management Less Salary Less benefits No work life balance
92,"Bad company Not that I can think of, noup. Small salary, no paid overtime, and night shifts."
93,Great atmosphere Leadership always improving and considering employees. Provided support during COVID. Always conducting survey to get employees opinion. Not easy to find the right person that knows what you are trying to solve but have to do some searching.
94,"Greate working Enviroment flat & flex organization, quick response, quick action not very sure about this"
95,"Excellent Company, great people focus Quality of work, people caring, innovation Little bit work life balance"
96,Aptiv Born To Move Great place to work and learn in leading automotive technology No concerns on Aptiv Bangalore
97,Was a great team None that are worth the headache. - Had a lot of corporate bloat software that was complex and difficult to manage what was important and what wasn't
98,Great experience Very good work environment and culture Work load may vary based in project needs
99,"Good life work balance Good life work balance, nice work culture Slow in adapting to new technologies"
100,The BEST Automotive Company I've worked for many different automotive companies and Aptiv is surely the BEST. Great Pay Great Benefits Great colleagues Great management team Great Office Building Great Environment Great Technology Great Global portfolio Not Applicable. There is none.
101,A good company to work on They treat they employees very nicely and there's a very nice communication between management and employees. Sometimes workloads are impossible to handle.
102,Great culture A work environment in which you have the opportunity to learn and develop professionally. I don't any cons about.
103,"Great place to Work and learn!! If you are a fresher then APTIV is great place to start with . As the working culture here in Aptiv is very adaptive . Aptiv has a ability to build professional relationships with colleagues. As there are pros as well as cons for everything,i will not say much but as Aptiv has customers from all around the world, you may have to adjust with the working hours sometime."
104,Aptiv review Great opportunity to grow and develop skills in an international environment Very fast changing industry that requires fast adapting
105,fair empolyer flexible hours home office many possibilities the management is a bit messy especially in the advanced engineering.
106,"Good Place to Work At Good Management, great work-life balance Less flexibility in terms of working from a remote location,"
107,Feedback about Aptiv Work life balance and good platform to learn the technology CTC is not upto the mark
108,Decent place Great work culture. Understanding with time off Hard to climb up the corporate ladder
109,"Great company nice environment, inclusive, good opportunities a large company so slow to decision making"
110,Good good place to work in very big company small impact
111,"Great place to work, but long term job stability questionable High tech challenges, good benefits, great colleagues. Aptiv has a ""flexible business model"". Part of this is they will quickly shut down an operation or location to move to a more cost effective location. Aptiv is run by finance people not engineering leaders."
112,"Be here now Very good company to work in Nothing special, it’s a pleasure to work in"
113,"Be here now Very good company to work in Nothing special, it’s a pleasure to work in"
114,"Aptiv - Open and Friendly Aptiv for me means an open-minded, diverse company. Approval processes are unflexible and slow."
115,Nice place to work There is free coffe available None beside actual pandemic situation
116,"Awesome work environment Loved it, was a relaxed environment Not a whole lot of room for growth"
117,"Decent company to work for Good colleges, decent salary and can be a good fit for a lot of peop Sometimes the responsibilities are not clear"
118,"Fast phased cutting edge technology Fast phased , step learning , cutting edge technology Work life balance , Not a process driven company"
119,Good environment Very Good starting salaries and big projects No bonuses are available and the increase in salary is weak
120,Great Opportunities but can easily be pigeon-holed. Great teams to work with; some career growth and exploration if you have the right manager looking out for you. Sometimes a little too Lean in the employee workforce.
121,Great Great group of people all around Early stages of figuring it all out
122,"Well paid and interesting but you will loose your mind Good Salary and interesting technology Bad working atmosphere, tough management"
123,"lots of bureaucracy Well, there are none. Just make your money worth there are lots of bureaucracy"
124,OK ok working there nothing much to complain ok working there nothing to grow
125,"Middle of the Road Lots of growth opportunities, and some of the best coworkers I've found yet in my career. The things we've been able to accomplish across the globe with multi-national teams have been truly remarkable. The culture at APTIV is more of a shapeless forming blob. As Delphi, APTIV had a distinct culture of ""Excellence"" stemming back to the Packard days, and a proud history there as well. Companies such as Control-Tec and Unwired also had their own distinct cultures that were more like google and made your team feel more akin to family. Plenty of work got done above and beyond due to this. Now those have been stripped away into the APTIV Culture, and it is palpable in comparison to those hay-days."
126,"Great Place to Work There is flexibility, profesionalism and compromise I can't think of one, it aways depend on the business unit"
127,Work Life balance Maintaining a good focus and good management Less work life balance due to work pressure
128,Great company Lots of things to learn Lots of work to do
129,"Great Environment The environment is very nice and supportive. The people are really friendly and ready to help. The working plan is not very clear, the hierarchy is not well structured and a lot of people are taking the decision."
130,"Nice and lot of learning Quality food,free transport,satisfy salary, supportive management. Sometimes 12 hours shift and not given leave"
131,overall good experience company has interesting products and projects the work atmosphere and the workstyle is more traditional
132,Good technology and top level active safety leadership Some very good active safety leadership at the very top level Many strong engineers at the working levels Need to root out the bad leaders who compromise the organization
133,"Great company! Good pay, good bonus at the end of the year, good benefits and good management Cannot think of any cons. I learnt a lot and had a good experience overall."
134,"Pathetic place Free travel. Free food in the canteen. Pathetic place to work. Apart from traveling allowance, nothing is good about the organisation"
135,"Innovation Great Work, Innovative Team, Smart People, Collaborative Environment, Leadership Transparency Management can use more training."
136,Great people! Good colleagues and great working environment sometimes - no scope for further development and lack of opportunities
137,Very good company for beginners and professionals - new techology in automotive - None at the moment
138,"Still ok Good benefits (Medical, dental, AL) Not systemic, not everyone follow procedure"
139,stock market motivated the compensation is adequate at this company company does not value employees. burn out and terminate
140,"Good company for juniors Freedom, relatively well paid in Michigan. Management needs improvement to make employees focus on the projects."
141,"Salary for Team Lead Good pay, good infrastructure, good people Work life balance, no growth after 12 or 13 years of ecperience"
